,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
5,12,364.l.8091.t.10,Trinh,60.0,78.0,0.769230769231,175.0,372.0,0.470430107527,53.0,463.0,148.0,84.0,31.0,17.0,50.0,7.0,6.0,4.0,6.0,11.0,10.0,7.0,8.0,6.0,7.22222222222
6,12,364.l.8091.t.12,Valar Moredunkis,77.0,96.0,0.802083333333,181.0,382.0,0.473821989529,44.0,483.0,129.0,103.0,27.0,13.0,53.0,3.0,5.0,7.0,5.0,12.0,5.0,10.5,11.0,7.0,7.27777777778
7,12,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,56.0,73.0,0.767123287671,156.0,334.0,0.467065868263,33.0,401.0,175.0,69.0,19.0,23.0,37.0,8.0,8.0,9.0,10.0,5.0,12.0,12.5,2.0,2.0,7.6111111111100005
8,12,364.l.8091.t.2,#Hwaiting,66.0,99.0,0.666666666667,128.0,288.0,0.444444444444,26.0,348.0,195.0,99.0,37.0,20.0,59.0,14.0,12.0,10.0,14.0,3.0,6.5,2.0,4.0,9.0,8.27777777778
9,12,364.l.8091.t.6,Jimmy & Jimmy Co.,58.0,81.0,0.7160493827159999,149.0,304.0,0.490131578947,22.0,378.0,168.0,95.0,34.0,16.0,47.0,11.0,4.0,13.0,12.0,8.0,8.0,4.5,9.0,5.0,8.27777777778
10,12,364.l.8091.t.9,Stream Team,62.0,87.0,0.712643678161,162.0,351.0,0.46153846153800004,41.0,427.0,157.0,89.0,32.0,19.0,57.0,12.0,9.0,8.0,7.0,10.0,9.0,6.0,6.0,8.0,8.333333333330001
11,12,364.l.8091.t.1,Adam Silver,67.0,88.0,0.761363636364,153.0,340.0,0.45,51.0,424.0,116.0,81.0,27.0,19.0,41.0,9.0,11.0,5.0,8.0,13.0,11.0,10.5,6.0,3.0,8.5
12,12,364.l.8091.t.13,Harry B's Hairy Bees,56.0,67.0,0.835820895522,157.0,335.0,0.468656716418,23.0,393.0,189.0,48.0,17.0,12.0,46.0,1.0,7.0,11.5,11.0,4.0,14.0,14.0,12.0,4.0,8.72222222222
13,12,364.l.8091.t.14,Boomshakalaka,51.0,65.0,0.784615384615,146.0,273.0,0.534798534799,23.0,366.0,114.0,68.0,19.0,10.0,34.0,6.0,1.0,11.5,13.0,14.0,13.0,12.5,13.0,1.0,9.444444444439998
0,13,364.l.8091.t.12,Valar Moredunkis,126.0,158.0,0.7974683544300001,232.0,476.0,0.487394957983,59.0,649.0,189.0,120.0,41.0,20.0,65.0,3.0,3.0,4.5,2.0,9.0,7.0,5.5,10.5,6.0,5.61111111111
1,13,364.l.8091.t.5,D-League All-Stars,99.0,111.0,0.891891891892,199.0,439.0,0.453302961276,60.0,557.0,190.0,134.0,41.0,23.0,75.0,2.0,10.0,2.5,4.0,8.0,4.0,5.5,6.5,10.5,5.88888888889
2,13,364.l.8091.t.4,Cool Cats,150.0,165.0,0.909090909091,233.0,527.0,0.442125237192,60.0,676.0,227.0,130.0,35.0,21.0,80.0,1.0,12.0,2.5,1.0,3.0,5.0,8.5,9.0,13.0,6.11111111111
3,13,364.l.8091.t.9,Stream Team,84.0,106.0,0.792452830189,216.0,446.0,0.484304932735,38.0,554.0,204.0,155.0,43.0,18.0,70.0,5.0,4.0,9.0,6.0,7.0,1.0,3.5,12.5,9.0,6.333333333330001
4,13,364.l.8091.t.7,One for the Mainland,139.0,176.0,0.7897727272730001,215.0,455.0,0.472527472527,45.0,614.0,229.0,116.0,29.0,26.0,76.0,6.0,6.0,7.5,3.0,2.0,8.0,10.5,2.5,12.0,6.38888888889
5,13,364.l.8091.t.6,Jimmy & Jimmy Co.,93.0,117.0,0.7948717948720001,174.0,375.0,0.46399999999999997,37.0,478.0,221.0,110.0,43.0,24.0,65.0,4.0,7.0,10.5,10.0,4.0,9.0,3.5,4.5,6.0,6.5
6,13,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,67.0,85.0,0.788235294118,191.0,370.0,0.516216216216,45.0,494.0,177.0,82.0,39.0,26.0,45.0,7.0,2.0,7.5,8.0,12.0,13.0,7.0,2.5,2.0,6.77777777778
7,13,364.l.8091.t.3,Forgot About Dray,88.0,121.0,0.7272727272730001,175.0,327.0,0.535168195719,21.0,459.0,234.0,139.0,29.0,38.0,66.0,13.0,1.0,14.0,12.0,1.0,2.0,10.5,1.0,8.0,6.944444444439999
8,13,364.l.8091.t.1,Adam Silver,117.0,155.0,0.7548387096770001,190.0,400.0,0.475,59.0,556.0,138.0,86.0,25.0,24.0,61.0,10.0,5.0,4.5,5.0,14.0,12.0,12.0,4.5,4.0,7.8888888888899995
