first_name,last_name,position,team,timestamp,type
JaMychal,Green,PF,#Hwaiting,"Sat, 19 Mar 2016 01:17:43",add
Shaun,Livingston,"PG,SG",#Hwaiting,"Sat, 19 Mar 2016 01:17:43",drop
Mason,Plumlee,"PF,C",#Hwaiting,"Fri, 18 Mar 2016 01:48:49",add
Marcelo,Huertas,PG,#Hwaiting,"Fri, 18 Mar 2016 01:48:49",drop
Jason,Smith,"PF,C",Cool Cats,"Fri, 18 Mar 2016 00:19:42",add
Darrell,Arthur,"PF,C",Cool Cats,"Fri, 18 Mar 2016 00:19:42",drop
Hollis,Thompson,"SG,SF",BDD,"Fri, 18 Mar 2016 00:07:58",add
Harrison,Barnes,"SF,PF",BDD,"Fri, 18 Mar 2016 00:07:58",drop
Patrick,Patterson,"PF,C",BDD,"Fri, 18 Mar 2016 00:01:36",add
Jeremy,Lin,"PG,SG",BDD,"Fri, 18 Mar 2016 00:01:36",drop
Marcelo,Huertas,PG,#Hwaiting,"Thu, 17 Mar 2016 09:31:14",add
Wesley,Matthews,"SG,SF",#Hwaiting,"Thu, 17 Mar 2016 09:31:14",drop
Shaun,Livingston,"PG,SG",#Hwaiting,"Thu, 17 Mar 2016 09:28:57",add
Bojan,Bogdanovic,"SG,SF",#Hwaiting,"Thu, 17 Mar 2016 09:28:57",drop
Darrell,Arthur,"PF,C",Cool Cats,"Wed, 16 Mar 2016 18:22:14",add
Meyers,Leonard,"PF,C",Cool Cats,"Wed, 16 Mar 2016 18:22:14",drop
Bojan,Bogdanovic,"SG,SF",#Hwaiting,"Wed, 16 Mar 2016 03:51:58",add
E'Twaun,Moore,"PG,SG",#Hwaiting,"Wed, 16 Mar 2016 03:51:58",drop
E'Twaun,Moore,"PG,SG",#Hwaiting,"Wed, 16 Mar 2016 01:58:24",add
D.J.,Augustin,PG,#Hwaiting,"Wed, 16 Mar 2016 01:58:24",drop
Michael,Beasley,"SF,PF",So Kawhi 。◕ ‿ ◕。,"Tue, 15 Mar 2016 20:53:32",add
Jae,Crowder,"SF,PF",So Kawhi 。◕ ‿ ◕。,"Tue, 15 Mar 2016 20:53:32",drop
D.J.,Augustin,PG,#Hwaiting,"Mon, 14 Mar 2016 22:39:31",add
JaMychal,Green,PF,#Hwaiting,"Mon, 14 Mar 2016 22:39:31",drop
Tim,Duncan,"PF,C",Cool Cats,"Mon, 14 Mar 2016 22:36:02",add
Zach,Randolph,"PF,C",Cool Cats,"Mon, 14 Mar 2016 22:36:02",drop
Isaiah,Canaan,PG,Cool Cats,"Mon, 14 Mar 2016 22:35:48",add
Norris,Cole,"PG,SG",Cool Cats,"Mon, 14 Mar 2016 22:35:48",drop
Shelvin,Mack,PG,Adam Silver,"Sun, 13 Mar 2016 19:58:36",add
Jamal,Crawford,"SG,SF",Adam Silver,"Sun, 13 Mar 2016 19:58:36",drop
Lance,Stephenson,"SG,SF",Valar Moredunkis,"Sun, 13 Mar 2016 03:13:30",add
P.J.,Tucker,"SG,SF",Valar Moredunkis,"Sun, 13 Mar 2016 03:13:30",drop
JaMychal,Green,PF,#Hwaiting,"Thu, 10 Mar 2016 00:22:54",add
Al,Jefferson,"PF,C",#Hwaiting,"Thu, 10 Mar 2016 00:22:54",drop
Jerryd,Bayless,"PG,SG",Greendale CC,"Wed, 09 Mar 2016 21:51:20",add
Arron,Afflalo,"SG,SF",Greendale CC,"Wed, 09 Mar 2016 21:51:20",drop
